portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
108171.7998456955,14647.297095298767,0.13540772286485747,0.1438,0.0798,0.0666,0.0664,0.0667,0.1263,0.0667,0.0667,0.1817,0.0,0.0,1250,328,186,150,253,272,212,295,640,0,0
108369.31744670868,12792.789846420288,0.1180480799162662,0.084,0.0579,0.0578,0.1373,0.0579,0.1573,0.1144,0.0578,0.1576,0.0,0.0,731,240,160,310,217,339,364,253,558,0,0
107178.58665752411,12927.208325386047,0.12061372265239267,0.0769,0.0598,0.0597,0.1007,0.0596,0.1623,0.1384,0.0596,0.1624,0.0,0.0,674,248,165,227,222,351,443,258,578,0,0
108104.9404706955,27230.58915233612,0.2518903302085222,0.0574,0.0573,0.0573,0.0972,0.0573,0.0571,0.1513,0.0573,0.1558,0.0,0.0,498,238,159,219,215,123,483,247,556,0,0
108844.16610622406,13011.389077186584,0.11954144666319008,0.0592,0.084,0.0592,0.0589,0.0771,0.161,0.0591,0.1609,0.161,0.0,0.0,512,349,163,132,288,347,188,690,576,0,0
109213.9719839096,19708.53025341034,0.18045795693900757,0.062,0.0619,0.0618,0.0619,0.0619,0.1093,0.0911,0.1684,0.1412,0.0,0.0,531,257,170,138,231,236,288,723,507,0,0
108925.57069015503,14312.629571914673,0.13139825186344684,0.0649,0.065,0.0647,0.0646,0.0649,0.1767,0.1264,0.0649,0.1766,0.0,0.0,558,270,179,143,243,382,401,277,636,0,0
109402.53798484802,14063.217050552368,0.12854561977803558,0.0707,0.0756,0.0632,0.172,0.0632,0.0631,0.1721,0.0633,0.1282,0.0,0.0,609,314,175,380,236,136,543,275,461,0,0
109219.50513648987,13050.18267250061,0.1194858249558264,0.0622,0.0587,0.0588,0.1599,0.0819,0.1602,0.1304,0.0588,0.1097,0.0,0.0,534,243,163,352,305,344,415,255,395,0,0
109263.14548492432,11987.02292060852,0.10970783302465369,0.1473,0.1472,0.054,0.1305,0.0814,0.054,0.147,0.0542,0.0747,0.0,0.0,1269,606,150,286,304,116,468,236,269,0,0
