date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2014-04-11,99967.70237255096,31085.196942329407,0.3109523996708836,0.0568,0.0773,0.0724,0.0739,0.1003,0.0567,0.0568,0.138,0.0569,0.0,0.0,406,253,156,135,316,99,137,478,155,0,0,14330.261070251465,33018.51898574829
2014-04-14,100506.38178539276,11738.79575252533,0.11679652121584387,0.0571,0.0911,0.0571,0.1553,0.0569,0.127,0.1426,0.0569,0.1391,0.0,0.0,407,297,123,283,179,220,344,197,378,0,0,33426.673557281494,14080.272367477417
2014-04-15,101137.41892337799,12014.142912864685,0.11879028593726161,0.1439,0.0806,0.0811,0.1599,0.0586,0.0989,0.1224,0.0588,0.0769,0.0,0.0,1023,263,174,293,185,170,295,202,209,0,0,12062.487487792969,12337.834648132324
2014-04-16,102124.41386413574,28344.751779556274,0.2775511820049764,0.0506,0.0506,0.1337,0.0789,0.1375,0.0501,0.0505,0.1199,0.0506,0.0,0.0,360,165,288,144,434,86,121,413,137,0,0,19718.95353126526,36049.56239795685
2014-04-17,102089.60961151123,14159.658082962036,0.13869832725234996,0.093,0.0873,0.0724,0.1274,0.077,0.0683,0.146,0.0683,0.1217,0.0,0.0,661,285,156,232,243,116,347,238,328,0,0,31748.634689331055,17563.540992736816
2014-04-21,102326.2381029129,31483.695932388306,0.30767959925121163,0.0563,0.0561,0.0586,0.056,0.1529,0.0561,0.056,0.1441,0.0563,0.0,0.0,401,183,125,102,483,95,133,504,152,0,0,15554.2359085083,32878.27375793457
2014-04-22,102532.88584423065,25679.91254901886,0.250455376707451,0.0691,0.0688,0.069,0.1697,0.0972,0.0689,0.0689,0.0689,0.069,0.0,0.0,490,224,146,307,308,117,164,241,186,0,0,19173.67139530182,13369.888011932373
2014-04-23,102409.60581493378,11247.668391227722,0.10983020881413785,0.1477,0.0542,0.0659,0.1477,0.0543,0.1476,0.0714,0.0541,0.1474,0.0,0.0,1044,178,140,268,172,249,169,189,397,0,0,24275.439805984497,9843.19564819336
2014-04-24,102502.22557163239,12621.841044425964,0.12313723896273208,0.0606,0.0892,0.0606,0.1168,0.0605,0.1647,0.0994,0.0605,0.1647,0.0,0.0,429,291,129,211,191,278,236,210,446,0,0,11294.1966381073,12668.369291305542
2014-04-25,101843.342502594,28783.379278182983,0.2826240633004544,0.0516,0.0515,0.076,0.1084,0.1353,0.0516,0.0516,0.1401,0.0513,0.0,0.0,366,169,162,198,424,87,123,478,139,0,0,17147.415195465088,33308.95342922211
2014-04-28,102096.60901641846,13781.422050476074,0.13498413104258775,0.0559,0.1521,0.0622,0.152,0.1439,0.0557,0.1223,0.0652,0.0557,0.0,0.0,400,496,132,279,447,94,292,222,152,0,0,24123.96948814392,9122.012260437012
2014-04-29,102376.64419555664,23609.00651741028,0.23060930257015552,0.0667,0.1201,0.0728,0.1092,0.1096,0.0664,0.0666,0.0913,0.0666,0.0,0.0,474,390,154,200,343,112,159,313,181,0,0,7035.291021347046,16862.87548828125
2014-04-30,102622.20412826538,13181.254251480103,0.1284444664139656,0.0745,0.0635,0.0632,0.1214,0.0633,0.1543,0.0955,0.0633,0.1725,0.0,0.0,530,206,134,222,198,261,227,217,466,0,0,24846.53409576416,14418.781829833984
2014-05-01,102556.84037971497,12307.591444015503,0.12000751386691375,0.0592,0.059,0.0729,0.0676,0.0592,0.1606,0.0852,0.1556,0.1608,0.0,0.0,420,191,154,123,185,272,203,531,437,0,0,11070.881248474121,10197.218441009521
2014-05-02,102246.33729934692,22409.575291633606,0.21917240151131304,0.0609,0.1349,0.0979,0.0829,0.0879,0.0635,0.1232,0.0607,0.0689,0.0,0.0,431,437,208,150,274,107,293,211,186,0,0,18836.84233570099,28938.82618331909
2014-05-05,102497.07085704803,16621.16530895233,0.16216234444527453,0.0781,0.0684,0.068,0.1511,0.0683,0.0975,0.0681,0.0684,0.1699,0.0,0.0,556,221,144,274,214,164,162,236,457,0,0,23350.44611930847,17562.036136627197
2014-05-06,101818.3608121872,17765.526753425598,0.17448254530629947,0.1923,0.0706,0.0707,0.0706,0.0706,0.0707,0.1037,0.0705,0.1057,0.0,0.0,1380,229,150,129,221,118,247,243,284,0,0,16301.180215835571,17445.541660308838
2014-05-07,102518.1244764328,13295.868611335754,0.1296928584993013,0.086,0.083,0.1526,0.1216,0.0717,0.0655,0.1624,0.0638,0.0637,0.0,0.0,613,271,325,224,224,109,386,218,171,0,0,21121.624271392822,16651.96612930298
2014-05-08,102331.35789585114,29322.99178791046,0.2865494252285234,0.0524,0.0523,0.1151,0.0524,0.1423,0.0522,0.0523,0.1425,0.0521,0.0,0.0,372,170,246,96,443,88,124,491,140,0,0,15305.586032867432,31332.70920944214
2014-05-09,102289.78332424164,11693.95342540741,0.11432181245647494,0.0564,0.1448,0.0706,0.1004,0.0562,0.128,0.0751,0.1533,0.1008,0.0,0.0,400,470,150,183,174,216,178,536,271,0,0,31135.362310409546,13506.323947906494
2014-05-12,102948.75306606293,11765.390400886536,0.1142839524567782,0.1517,0.0717,0.0761,0.128,0.0562,0.1358,0.0562,0.0569,0.1531,0.0,0.0,1073,231,161,232,175,229,132,202,409,0,0,19262.227268218994,19333.66424369812
2014-05-13,103014.28104782104,13385.908193588257,0.12994225710680135,0.1062,0.0763,0.0639,0.0743,0.064,0.1511,0.0958,0.064,0.1745,0.0,0.0,752,246,135,135,199,254,225,227,466,0,0,9811.53378868103,11432.051581382751
2014-05-14,102752.57641029358,20832.356029510498,0.2027429068671367,0.0624,0.0957,0.075,0.157,0.0728,0.0621,0.0784,0.1316,0.0623,0.0,0.0,444,309,158,288,227,104,185,463,166,0,0,19513.600175857544,26960.048011779785
2014-05-15,102072.91077041626,12837.891431808472,0.12577177759419075,0.0618,0.0617,0.0615,0.1678,0.0617,0.1681,0.0617,0.0618,0.1681,0.0,0.0,442,199,130,308,193,283,146,217,451,0,0,22803.071060180664,14808.606462478638
2014-05-16,102353.88931655884,11773.481725692749,0.11502720418644641,0.0832,0.1545,0.1188,0.1544,0.0568,0.0732,0.0769,0.0567,0.1104,0.0,0.0,596,497,251,282,177,124,182,199,296,0,0,19102.13190460205,18037.722198486328
2014-05-19,102647.80659866333,27398.2452583313,0.26691505806309235,0.0677,0.0677,0.0674,0.0675,0.0677,0.104,0.0676,0.126,0.0975,0.0,0.0,484,217,142,123,212,176,160,450,261,0,0,11512.51682472229,27137.28035736084
2014-05-20,102257.95021247864,11135.149304389954,0.10889274898677874,0.1462,0.0592,0.0729,0.0671,0.0537,0.1461,0.1461,0.0537,0.1461,0.0,0.0,1047,190,154,123,168,247,349,191,392,0,0,26001.50041103363,9738.404457092285
2014-05-21,102954.7062587738,19549.189821243286,0.1898814588631523,0.0653,0.0654,0.0655,0.108,0.0702,0.0897,0.0651,0.1779,0.103,0.0,0.0,468,210,138,197,220,151,155,637,277,0,0,19350.507148742676,27764.54766559601
2014-05-22,103263.97463798523,13906.88998222351,0.13467320070699582,0.0638,0.1733,0.0638,0.0753,0.0638,0.0994,0.073,0.1735,0.0796,0.0,0.0,456,557,134,137,201,168,174,618,214,0,0,13009.786563873291,7367.486724853516
2014-05-23,103564.59444236755,19857.19201183319,0.191737264252828,0.0673,0.0673,0.102,0.0746,0.1002,0.0671,0.0859,0.1583,0.0856,0.0,0.0,481,215,215,135,316,114,204,567,229,0,0,10009.946154594421,15960.248184204102
2014-05-27,104005.40146827698,11276.735550880432,0.10842451826235185,0.1448,0.0845,0.0532,0.0868,0.0532,0.1446,0.1264,0.0532,0.1448,0.0,0.0,1031,269,112,157,168,246,300,190,389,0,0,29533.811853408813,20953.355392456055
2014-05-28,103996.29941272736,11675.5972032547,0.11226935255569111,0.0933,0.1116,0.0545,0.1491,0.0547,0.0989,0.1295,0.0547,0.1415,0.0,0.0,665,356,115,270,173,168,307,194,380,0,0,10062.777912139893,10461.63956451416
2014-05-29,104547.69816589355,15637.544445037842,0.14957330213262654,0.1792,0.0778,0.1235,0.0817,0.0723,0.0721,0.0994,0.0723,0.0722,0.0,0.0,1282,248,260,148,228,122,236,257,193,0,0,19897.088173866272,23859.035415649414
2014-05-30,104735.17011833191,15699.968139648438,0.14990158627622696,0.0634,0.1112,0.1146,0.1174,0.0632,0.0666,0.0786,0.1721,0.0631,0.0,0.0,453,355,241,213,198,113,187,609,169,0,0,17681.495044708252,17743.918739318848
2014-06-02,104824.5950088501,27757.34197998047,0.2647979892279763,0.0591,0.0591,0.0604,0.089,0.1304,0.0588,0.059,0.1606,0.0588,0.0,0.0,422,189,127,161,410,100,140,569,157,0,0,7066.558029174805,19123.931869506836
2014-06-03,104832.87623214722,13391.317039489746,0.12773967023317512,0.0627,0.0749,0.0624,0.0756,0.0627,0.161,0.0661,0.136,0.1708,0.0,0.0,447,240,131,137,198,273,157,480,457,0,0,25438.397232055664,11072.372291564941
2014-06-04,104958.03473949432,29326.58343887329,0.27941246719855056,0.051,0.0643,0.1389,0.0509,0.1242,0.0506,0.0509,0.1389,0.0509,0.0,0.0,363,206,291,92,391,86,121,491,136,0,0,14776.337196350098,30711.603595733643
